,AR,range,sigma
0,10132,33,264.2599588631326
1,10323,68,238.1782702620724
2,10344,35,310.9265755546722
3,10381,47,189.22557331894387
4,10569,38,145.8573293294335
5,10879,46,137.34967976346098
6,10900,58,129.02379121599506
7,10971,40,124.36449396439765
8,11024,44,223.38732399199128
9,8056,32,133.16064990984688
10,8060,38,95.429035475428
11,8088,29,262.9907251332988
12,8122,33,208.99030102767532
13,8130,26,180.20340457108648
14,8164,52,214.49436187346706
15,8167,34,185.56942668325337
16,8171,39,230.4537672191012
17,8214,63,306.7563260233087
18,8226,34,300.0127274092362
19,8476,48,239.11681547019168
20,8582,62,226.90384739188593
21,8614,32,306.12710859505904
22,8628,48,246.74229149690362
