,AR,range,sigma
0,10987,40,213.87143236231032
1,11007,54,172.1562026176192
2,7982,50,130.95930588491234
3,8016,18,163.05514182286427
4,8040,60,199.88671570727305
5,8052,50,126.06165340591403
6,8084,62,205.4693172564293
7,8193,33,276.2439977725665
8,8205,50,182.53923903326924
9,8404,51,235.9370360146055
10,8407,24,150.28102286398484
11,8488,34,208.15078071412177
12,8524,52,318.5718267688653
13,8536,42,204.14138586410274
14,8552,44,332.5835535580121
15,8589,50,165.16151437683513
16,8649,58,269.9273091086529
17,8690,63,218.27900965877242
18,8699,47,285.2127044892142
