,AR,range,sigma
0,10132,33,264.2599589
1,10323,68,238.1782703
2,10344,35,310.9265756
3,10381,47,189.2255733
4,10569,38,145.8573293
5,10879,46,137.3496798
6,10900,58,129.0237912
7,10971,40,124.364494
8,11024,44,223.387324
9,8088,29,262.9907251
10,8122,33,208.990301
11,8130,26,180.2034046
12,8164,52,214.4943619
13,8167,34,185.5694267
14,8171,39,230.4537672
15,8214,63,306.756326
16,8226,34,300.0127274
17,8476,48,239.1168155
18,8582,62,226.9038474
19,8614,32,306.1271086
20,8628,48,246.7422915
21,10043,61,229.6542265
22,10045,48,222.6226962
23,10050,68,344.2611851
24,10099,36,166.9547186
25,10103,68,224.3560137
26,10130,21,270.0651965
27,10137,60,277.4572709
28,10144,32,228.3403983
29,10188,23,196.3273676
30,10226,68,336.5701918
31,10311,19,220.9803406
32,10349,56,304.6353202
33,10385,38,161.9688343
34,10391,52,229.5927383
35,10456,56,210.7942118
36,10547,56,167.605297
37,10747,60,164.1985608
38,10987,40,213.8714324
39,11007,54,172.1562026
40,7982,50,130.9593059
41,8016,18,163.0551418
42,8040,60,199.8867157
43,8052,50,126.0616534
44,8084,62,205.4693173
45,8193,33,276.2439978
46,8205,50,182.539239
47,8404,51,235.937036
48,8407,24,150.2810229
49,8488,34,208.1507807
50,8524,52,318.5718268
51,8536,42,204.1413859
52,8552,44,332.5835536
53,8589,50,165.1615144
54,8649,58,269.9273091
55,8690,63,218.2790097
56,8699,47,285.2127045
57,10268,63,217.7080724
58,10274,28,218.5472979
59,8056,32,133.154299
60,8060,39,95.42976332
61,8722,42,161.526646
62,8749,39,333.9228462
63,8757,36,229.8169086
64,8760,58,292.0638303
65,8797,53,173.7944792
66,8828,48,197.5167547
67,8851,58,195.5631639
68,8898,41,311.9536309
69,8900,59,286.0912256
70,8913,56,245.1799637
71,8924,63,312.8134755
72,8968,45,284.0472207
73,8972,44,256.8484809
74,8986,48,233.1282805
75,9032,40,154.4780049
76,9035,32,150.8146989
77,9063,42,150.6708115
78,9069,39,298.7656531
79,9070,67,298.521216
80,9103,58,225.3419382
81,9139,41,271.2963115
82,9140,45,234.429856
83,9144,55,267.7435558
84,9154,39,281.9986268
85,9170,67,190.5728306
86,9192,34,196.7383886
87,9218,40,267.8153011
88,9267,26,273.9321968
89,9290,37,174.4542297
90,9291,54,212.2915108
91,9308,33,234.5249924
92,9311,67,187.3333694
93,9368,61,312.2468422
94,9396,40,225.015884
95,9399,42,163.3559246
96,9417,38,258.2004963
97,9432,63,204.7207612
98,9441,54,248.5405155
99,9455,60,282.5524041
100,9456,44,201.0270611
101,9484,68,253.2844798
102,9511,48,190.8336107
103,9512,48,243.7796179
104,9531,45,213.5055789
105,9548,27,227.9436163
106,9563,68,259.1238144
107,9569,49,272.3264528
108,9574,49,327.6859702
109,9660,51,143.0283146
110,9678,56,315.8264655
111,9689,34,264.7893509
112,9710,44,171.6904844
113,9764,65,167.3460736
114,9844,65,236.5377571
115,9845,58,337.9825651
116,9873,38,155.8707393
117,9880,51,173.0669183
118,9884,63,219.0612835
119,9897,29,203.976422
120,9906,69,337.9759066
121,9910,29,220.9800227
122,9912,68,285.1876028
123,9931,50,210.5005453
124,9978,37,296.2057928
125,9987,64,281.3386662
