,AR,range,sigma
0,10132,33,264.2599588631326
1,10323,68,238.1782702620724
2,10344,35,310.9265755546722
3,10381,47,189.22557331894387
4,10569,38,145.8573293294335
5,10879,46,137.34967976346098
6,10900,58,129.02379121599506
7,10971,40,124.36449396439764
8,11024,44,223.38732399199128
9,8056,32,133.16064990984688
10,8060,38,95.429035475428
11,8088,29,262.9907251332988
12,8122,33,208.9903010276753
13,8130,26,180.20340457108648
14,8164,52,214.49436187346703
15,8167,34,185.56942668325337
16,8171,39,230.4537672191012
17,8214,63,306.7563260233087
18,8226,34,300.0127274092362
19,8476,48,239.11681547019168
20,8582,62,226.90384739188596
21,8614,32,306.12710859505904
22,8628,48,246.7422914969036
23,10043,61,229.65422650601872
24,10045,48,222.6226961575236
25,10050,68,344.26118507539155
26,10099,36,166.9547185972437
27,10103,68,224.3560136587917
28,10130,21,270.06519648993094
29,10137,60,277.45727093698974
30,10144,32,228.3403982748356
31,10188,23,196.3273675522178
32,10226,68,336.5701918472534
33,10268,63,217.71552725104104
34,10274,28,218.5505487229165
35,10311,19,220.98034057607788
36,10349,56,304.6353201637088
37,10385,38,161.96883430827114
38,10391,52,229.59273830719087
39,10456,56,210.7942118438924
40,10547,56,167.60529703535343
41,10747,60,164.19856075301038
42,10987,40,213.87143236231032
43,11007,54,172.1562026176192
44,7982,50,130.95930588491234
45,8016,18,163.05514182286427
46,8040,60,199.88671570727303
47,8052,50,126.06165340591404
48,8084,62,205.4693172564293
49,8193,33,276.2439977725665
50,8205,50,182.53923903326924
51,8404,51,235.9370360146055
52,8407,24,150.28102286398484
53,8488,34,208.15078071412177
54,8524,52,318.5718267688653
55,8536,42,204.14138586410277
56,8552,44,332.5835535580121
57,8589,50,165.16151437683513
58,8649,58,269.9273091086529
59,8690,63,218.2790096587724
60,8699,47,285.2127044892142
61,10268,63,217.708072364639
62,10274,28,218.5472978882058
63,8056,32,133.15429901522168
64,8060,39,95.42976331575997
